시퀀스,아파트코드,아파트명,주소(시도),주소(시군구),주소(읍면동),홈페이지,사용검사일,연면적,관리비부과면적,전체세대수,사용신청일,사용승인일,정보변경일,사용허가여부,일반인원,경비인원,청소인원,건설사,시행사,준공일자,건축면적,아파트평형,층수,주차대수,단지소개,아파트시설,음용수,전기안전관리자,전기안전관리방법,화재수신반유무,홈네트워크-주차관제시스템,기타메모,예산지출액,회계관리현태,화재수신반위치,엘리베이터,경비실CCTV카메라수,경비실CCTV모니터수,택비방식,경비예산 지출액,경비근무형태,경비근무시간,경비휴게시간,홈네트워그,아파트청소구역,지하주차대수,음식물처리방식,청소기타구역,청소 연간예산 지출액,청소근무시간,청소근무일자,청소일근무시간,청소세대당청소인원,청소방법,소독면적,소독구역,소독년횟수,소독 년 예산 지출액,소독약품,엘리베이터 수,엘리베이터 계약방식,엘리베이터 설치년도 운행,엘리베이터 종류,엘리베이터 운행층,엘리베이터 관리형태,엘리베이터 년 예산지출,엘리베이터 수리비,엘리베이터 월수리건수,하자보수진행상태,수선유지충당금부고방식,수선유지충당금,수선유지충당메인 항목,수선유지대체금,전체동수,전화번호,팩스번호,급수시설,주소(나머지),아파트고유번호,우편번호,좌표X,좌표Y,관리사번호,주소(도로명),주소(도로 상세주소),법정동주소,단지분류,도로명주소,전용면적별 세대현황1,전용면적별 세대현황2,85_135이하,135초과,최초등록일자,최종등록일자,주거전용면적
801,A15209202,개봉삼호아파트관리사무소,서울,구로구,개봉2동,,1996-12-04 00:00:00.0,45794,37518,369,2013-03-07 09:46:47.0,2013-06-18 17:02:10.0,2013-06-18 17:02:10.0,Y,5,4,3,삼호(주),개봉삼호아파트 재건축조합,,0.00,,24층,318,,"관리사무실,경로당,어린이놀이터,주차장,승강기.변전급수체육시설,오수 정화조,지하음용수",1600,유,자가,유,무,,345000000,외주 대행,관리실,있음,6개,"승강기, 지하주차장, 놀이터",,32400000,격일 근무,주 40시간,5시간,있음,단지내,,,,18000000,오전 9시~ 오후 4시까지,,2시간,,,17901,,12회,1944000,,5대,위탁관리(년계약),,LG오티스,,,4686000,390500,,,실비정산 및 충당 적립,12000000,,0,3,02-980-0832,02-981-0833,,,2108001568,142063,127.0382004,37.6239797,90700298631,오현로,128,서울특별시 강북구 번동 657 번동동문아파트,아파트,서울특별시 강북구 오현로 128,68,65,34,,,2019-05-20 01:26:59.0,14136.6
424,A13905202,월계흥화브라운빌,서울,노원구,월계2동,,2004-09-24 00:00:00.0,31045,24311,233,2013-03-07 09:46:42.0,2013-06-10 10:33:25.0,2013-06-10 10:33:25.0,Y,4,2,2,흥화공업,흥화공업,,2010.29,76.03|92.56|109.09,15|14,252,,"관리사무실,경로당,어린이놀이터,주차장,공동저수시설,승강기",950,유,,유,,,0,전산,,,,,,0,,,,,,,,,0,,,,,복도 물걸레( 회/주),17764,,,0,,,,,로프식,"1,2층제외",,0,0,,,수선유지충당금(년간분할부과),0,,0,3,02-516-4338,02-516-4338,고가수조,78-4,120-80-00500,135091,127.0583783,37.5197827,907-00-25622-1,영동대로128길,5,서울특별시 강남구 삼성동 78-4 삼성청구타운,아파트,서울특별시 강남구 영동대로128길 5,0,167,0,,,2019-05-20 07:03:51.0,14193.33
2098,A13070302,래미안용두1차,서울,동대문구,용두동,,2011-04-28 00:00:00.0,20804,20804,210,2013-03-07 09:46:54.0,2013-11-21 11:08:27.0,2013-11-21 11:08:27.0,Y,3,2,1,삼성건설,용두1구역 주택재개발조합,2010-02-01 00:00:00.0,809.03,39.94,18|,215,"

<p>1.도시및 주거환경정비법에 의한 주택재개발사업으로 건립한 래미안 허브리츠(분양동)의 </p><p>???? 재개발 임대아파트 (201동 1개동 210세대)임</p><p>2.서울특별시?SH공사에서 관리하는?임대아파트로서 임대보증금이 비교적 저렴함</p><p>3.아파트 인근에 지하철 1호선 제기역, 2호선 용두역, 국철 청량리역이 위치하여 사통팔달</p><p>??? 교통이 편리함</p><p>4.동대문구청, 용신동주민센터 뿐아니라, 경동시장, 홈플러스, 하이마트등이? 근거리에 </p><p>??? 위치하고 있어 생활하는데 매우?편리한 주거요건을 갖고 있음.?</p><p />

","관리사무실,경로당,어린이놀이터,주민공동시설",800,선임,위탁,관리,유,,235412690,전산(아파트 프러스),방재실(지하1층;기사일근),경비실 (지상),4개,"승강기내7개, 1층현관7대. 놀이텨2,정문1,지하주차장(1층;10.2층;10.(총;37대)",택배수령 전달(등기우편),0,격일제,06;30분-익일 06;30분,"주간;12시-13시,19시-20시.(2시간) 야간;0시-04시(4시간)",응답가능,,,,,0,,,,,,0,,,0,,7,,,,,,0,0,,,,0,,0,4,02-2631-0470,02-2631-0720,부스터 방식,457 (우;150-041),107-82-63748,150041,126.9003963,37.519805,90800127941,영신로33길,3,서울특별시 영등포구 당산동1가 457 당산신동아파밀리에,아파트,서울특별시 영등포구 영신로33길 3,133,34,0,,,2019-05-20 05:19:25.0,10788.84
563,A15283603,고척경남2차,서울,구로구,고척동,고척경남2차.ma-um.co.kr,1999-01-30 00:00:00.0,34250,26376,273,2013-03-07 09:46:15.0,2013-04-24 14:35:32.0,2013-04-24 14:35:32.0,Y,3,4,3,경남기업주식회사,신안아파트 재건축조합,1999-01-01 00:00:00.0,2154.00,59.960|70.980|71.070|84.850,5|19,261,"



","관리사무실,경로당,어린이놀이터,생활편익시설,공동저수시설,주차장,헬스장",800,선임,대행위탁,,,,87151330,전산,관리실/ 각동 라인별,유,4개,"지상(3), 지하(11), 승강기(8)",,77734850,24시간교대근무,19.5시간,"4.5시간(주간 2시간, 야간 2시간 30분)",유,아파트 계단,연 1회,2개소 2회/주,,19369800,"평일(5시간), 토요일(3시간 30분)",,2시간(11:30 ~ 13:30),102세대 / 98세대,논슬립 광택/ 계단 물청소,27470,"연막, 분무, 점도포식: 세대/ 계단",세대: 정기4회/추가 수목:정기 4회/추가,2208000,"케이오펜F, 슈페벤,뉴맥스포스겔, 오라오라, 바퀴하우스",8대(8인승),용역,13년차,로프식,"1,2층제외(최저 9층, 최고 14층)",단순(POG),6828720,1020690,2건/월,,"수선유지충당금(연간분할부과), 수선유지비(매월부과)",21108200,"정화조, 물탱크, 전기안전대행",0,2,02-359-1162,02-358-1162,고가수조,미미아파트,111-80-01086,03322,126.913541,37.6189819,907-00-03796-1,갈현로29길,11,서울특별시 은평구 갈현동 538 갈현미미,아파트,서울특별시 은평구 갈현로29길 11,98,52,50,,,2019-05-20 02:41:32.0,16487.61
266,A15703001,코오롱하늘채아파트,서울,강서구,등촌동,cafe.daum.net/o2vill3,2003-11-19 00:00:00.0,23580,19161,200,2013-03-07 09:46:15.0,2017-08-17 13:29:17.0,2017-08-17 13:29:17.0,Y,2,2,3,코오롱글로벌(주),청우주택조합,2003-11-01 00:00:00.0,0.00,104.8|80.48,15층|,202,,"관리사무실,경로당,어린이놀이터,경비실,주차장,오수정화조,공동저수시설,지하음용수,승강기",600(200),필수,위탁,관리,무,,0,전산장부,무,유,2,경비실,유,0,격일제근무,오전6시30분부터 ,6시간,유,"복도,단물걸레, 논슬맆, 외곽청소",무,무,,0,오전9시-오후 5시,,2,88세대 1명,물걸레 ,0,자체적으로 소독,,0,,2,단순계약,10년,로프식,격층 은행,,0,169400,월 1회,,매월정산제,0,"정화조청소, 전기안전관리대행료,",0,2,02-2635-4920,02-2068-0182,고가수조,394번지,1078000394,150804,126.8953498,37.5279629,1078000394,국회대로,552,서울특별시 영등포구 당산동3가 394 당산삼익,아파트,서울특별시 영등포구 국회대로 552,1,175,0,,,2019-05-20 05:21:13.0,13101.26
13,A13790701,잠원한신그린,서울,서초구,잠원동,없음,1993-01-21 00:00:00.0,17968,16860,150,2013-03-07 09:47:01.0,2016-04-25 16:20:42.0,2016-04-25 16:20:42.0,Y,7,3,2,한신공영(주),한신공영(주),1993-01-01 00:00:00.0,1115.61,112.4,1|15,136,,"관리사무실,경로당,어린이놀이터,경비실,공동 저수시설",,비선임,대행 위탁,"관리, 관리, 관리",,,0,전산,,유,,"놀이터, 주차장, 엘리베이터",,0,격일제,,,유,,,,,0,,,,,,0,,,0,,9대,종합계약,,로프식,,,0,0,,,,0,,0,5,02-6741-2991,02-6741-2992,,341번지,1138261099,152101,126.8410059,37.4983793,90700315881,고척로,52,서울특별시 구로구 오류동 341 오류한신플러스타운,아파트,서울특별시 구로구 고척로 52,120,120,59,,,2019-05-20 04:57:49.0,24156.42
56,A13201001,도봉서광,서울,도봉구,도봉동,,1999-09-07 00:00:00.0,13923,11513,159,2013-03-07 09:46:54.0,2018-03-28 11:19:09.0,2018-03-28 11:19:09.0,Y,4,2,1,융창건설(주),서울특별시 도시개발공사,1999-08-01 00:00:00.0,0.00,,10|,90,,"관리사무실,경로당,어린이놀이터, 주차장, 공동저수시설,승강기",400(145),선임,대행위탁,"관리,관리,관리","무, 무","전기실,급수펌프실,보일러실,기계실,쓰레기 집적장,외등시설,옥외 급수배수관설비, 오수관 등등",0,전산,관리실,가능,36대,"놀이터, 주차장, 엘리베이터,외곽",,0,24시간 교대근무,,,가능,층 라인,"지하 1,2층  면적",2개소 주 2회,"건물안 (복도, 계단 외 지하 주차장계단) 논슬립",0,주42시간,,2시간,1명당 1개동,,1654,"분무, 독먹이식",년 12회,0,,6대,,1999년도 설치 10년차 운행,로프식,지하2층 지상 19층,,0,390000,,,매월부과,0,,0,2,0226320207,0262980207,,99번지,107-89-00567,150106,126.8878627,37.5444139,90700035361,양평로30길,51,서울특별시 영등포구 양평동6가 99 양평한솔,아파트,서울특별시 영등포구 양평로30길 51,95,86,38,,,2019-05-20 05:34:01.0,16946.64
171,A13922001,중계청암3단지,서울,노원구,중계4동,,2003-09-15 00:00:00.0,25133,19334,180,2013-03-07 09:46:42.0,2013-05-07 18:52:04.0,2013-05-07 18:52:04.0,Y,4,4,2,요진건설,SH공사,2003-09-01 00:00:00.0,0.00,107.41,10|,208,,"관리사무실,경로당,어린이놀이터",400,비상주,전기안전대행업체위탁,관리,무,,0,전산,경비실,유,,경비실,택배수령,0,격일제,24시간근무 후 교대,,유,건물내부,,주 3회,논슬립,0,주 40시간근무,,,,,25585,수목: 년4회,4회,0,,4대,종합계약,1999년도 설치,로프식,"1,2,3층 제외운행",수시,0,220000,,10년하자종결,수선유지비(매월부과-정산제),0,"소방,시설유지",0,2,02-712-7285,02-3272-7340,고가수조,220,105-82-60916,121120,126.9326689,37.5426551,103148,신수로3길,23,서울특별시 마포구 현석동 220 밤섬현대,아파트,서울특별시 마포구 신수로3길 19,127,48,44,,,2019-05-20 03:25:12.0,16667.76
624,A15786116,염창금호,서울,강서구,염창동,,1999-04-02 00:00:00.0,35249,26724,290,2013-03-07 09:47:04.0,2013-06-23 10:51:51.0,2013-06-23 10:51:51.0,Y,4,4,3,금호건설,금호건설,1999-04-01 00:00:00.0,1887480.00,79.84|107.52,19|,278,,"관리사무실,경로당,어린이놀이터",,비상주,전기안전대행위탁,관리,무,,0,전산,기사실,유,30,"주차장(지상,지하), 엘리베이터, 각동 현관입구",택배수령,0,격일제,6시부터 익일 6시까지,주간 2시간 야간 4시간,유,"건물내부(복도, 계단), 논슬립, 대청소, 엘리베이터",,1개소 3회/주,,0,"평일: 09:00~16:00(6시간),토: 09:00~12:00(3시간)",,12:00-13:00,( 110/명),복도물걸레,24691,,"세대: 4회/년, 수목: 8회/년, ",0,,총 5대,부분단순(POG)계약,"1995년 설치, 13연간 운행",로프식,"1,2층제외운행",,0,794970,,"(1,2,3,4,5,10 년차 종결)","수선유지충당금,  수선유지비 혼합",0,"건축, 설비, 전기, 소방, 통신, 조경",0,2,02-835-2850,02-6274-2850,고가수조방식,성원아파트,108-80-01606,07379,126.8965839,37.5037835,108-80-01606-0,대림로,256,서울특별시 영등포구 대림동 650 대림성원,아파트,서울특별시 영등포구 대림로 256,110,110,0,,,2019-05-20 05:39:29.0,15871.9
1808,A41279902,은평뉴타운상림마을5단지,서울,은평구,진관동,,2008-05-14 00:00:00.0,61410,38908,318,2013-03-07 09:46:34.0,2015-07-02 09:48:52.0,2015-07-02 09:48:52.0,Y,4,6,4,대우푸르지오,SH공사,,0.00,,14,508,,"관리사무실,경로당,보육시설,어린이놀이터,주민공동시설,독서실,주차장,승강기,탁구장,당구장,영상실",1200,선임(과장),전기과장,유,유,"빗물저류조, 태양광시설(경로당 급탕)",0,전산,관리소,유,"2대(경비실, 관리소)","놀이터, 주차장, 엘레베이터, 관리소",유,0,격일제,평일:06시~06시(24시간).,"주간:12:00~13:00,18:00~19:00(2시간), 야간:02:00~05:00(3시간)",유," 가동:12층 복도, 나동:12층 복도.",전기주임(청소구역),1개소 2회/주,"대청소(복도물청소), 논슬립(연1회), 중앙,비상계단.",0,"평일:09:30~15:30(6시간), 토:09:30~11:30(시간).",,주간:11:30~13:30(2시간).,(220세대/1명),복도 물걸레( 3회/주),0,"연막, 분무 : 세대, 계단, 지하, 주차장","세대: 2회/년, 수목: 1회/년.",0,맥스겔외,12층용2대.,전체(FM),(2002)년도 설치 ( )연간 운행,VVVF식,전층운행,"쉬브/주로프(2009년),전면교체(2002년)",0,160600,1건/월,"(1,2,3,4,5,10 년차 종결)","수선유지충당금,수선유지비.",0,"건축, 설비, 전기, 소방, 통신, 조경",0,2,02-3494-4429,02-3494-4429,고가수조,444-31 대원그린아파트 관리사무소,210-82-68243,132023,127.0281276,37.6628505,1998-079321-0,방학로,212-9,서울특별시 도봉구 방학동 444-31 방학대원그린,아파트,서울특별시 도봉구 방학로 212-9,220,0,0,,,2019-05-20 01:37:51.0,10835.88
1836,A12072801,DMC센트레빌,서울,서대문구,남가좌2동,가재울센트레빌.apti.co.kr,2009-06-02 00:00:00.0,76631,46543,473,2013-03-07 09:46:20.0,2016-04-27 11:24:34.0,2016-04-27 11:24:34.0,Y,5,4,6,동부건설,주택조합,2009-06-01 00:00:00.0,5303.92,142.444|110.662|86.181|48.491,지하2|15,550,,"관리사무실,경로당,보육시설,어린이놀이터 ,조경시설 외",2250,선임,,,,,0,전산,관리소,유,,,유,0,격일제,24시간,6시간,유,,,1개소 회5/주,"외곽청소, 대청소, 논슬립, 재활용",0,오전 8시30~오후 3시 30분,,12시~1시,(1 세대/1명),복도 물걸레( 5회/1주),27273,분무식,"세대:12 회/1년, 수목:6 회/년, 기타: 회/년",0,,30층용 2대,월 유지보수,(2004)년도 설치 ( 6)연간 운행,로프식,전층운행,"쉬브/로브( 년), 카( 년), 권상기( 년), 전기제어반( 년), 브레이커( 년), 완충기( 년), 균형추( 년), 안전장치( 년), 전면교체( 년)",0,0,1건/1월,,수선유지충당금(년간분할부과),0,,0,2,02-3670-6111,02-3670-6114,부스터방식,76,101-80-05125,110876,127.0161891,37.5738554,,종로,347,서울특별시 종로구 숭인동 76 롯데캐슬천지인,아파트,서울특별시 종로구 종로 347,0,110,110,,,2019-05-19 23:04:47.0,21679.35
1817,A41279904,은평뉴타운상림마을6단지,서울,은평구,진관동,,2008-05-14 00:00:00.0,53595,36610,379,2013-03-07 09:46:37.0,2013-06-23 10:47:34.0,2013-06-23 10:47:34.0,Y,4,4,4,대우푸르지오,SH,2008-05-01 00:00:00.0,4646.66,108.127|108.537|134.963|135.119|135.440|179.128|71.418|71.904|88.799|89.351,10|15,454,"



","관리사무실,경로당,보육시설,경비실,어린이놀이터,탁구장,독서실,문고",1300,선임,필수,유,유,빗물저류조,0,전산,동별,유,,"놀이터, 주차장, 엘레베이터, 관리소",무,0,격일제,"평일: 09:00~17:30 ( 시간), 토: ~ (시간), 휴일: ~ (시간)","주간: ~ ( 시간), 야간: ~ (시간)",유, 층 라인,"수량: 개, 면적: ㎡",개소 회/주,"외곽청소, 대청소, 논슬립, 재활용",0,"평일: ~ ( 시간), 토: ~ (시간), 휴일: ~ (시간)",,"주간: ~ ( 시간), 야간: ~ (시간)",( 세대/명),복도 물걸레( 회/주),0,"연막, 분무, 독먹이식 : 세대, 계단, 지하, 주차장","세대: 회/년, 수목: 회/년, 기타: 회/년",0,,"층용 대, 층용 대",,( )년도 설치 ( )연간 운행,로프식,전층운행,"쉬브/로브( 년), 카( 년), 권상기( 년), 전기제어반( 년), 브레이커( 년), 완충기( 년), 균형추( 년), 안전장치( 년), 전면교체( 년)",0,0,건/월,10 년차 진행,수선유지충당금(년간분할부과),0,"건축, 설비, 전기, 소방, 통신, 조경",0,1,02-2679-2199,02-2679-2206,고가수조,1,107-80-01578,150095,126.8880592,37.5170201,907-00-08785-1,선유로,33,서울특별시 영등포구 문래동5가 1 문래대림,아파트,서울특별시 영등포구 선유로 33,80,100,20,,,2019-05-20 05:28:16.0,15217
1412,A15288611,신도림미성,서울,구로구,신도림동,,1987-12-11 00:00:00.0,71796,71796,824,2013-03-07 09:46:31.0,2016-06-21 17:33:59.0,2016-06-21 17:33:59.0,Y,9,16,6,라이프건설,라이프건설,1987-12-01 00:00:00.0,71796.16,71796.16,1|13,450,,"관리사무실,경로당,배드민턴장,놀이터,주차장,오수정화조,수변전설비,공동저수시설,승강기",1950,필수,상주,관리,무,,0,전산,,경비실,10개,승강기내부.각동출입구.정문.지하주차장.옥외주차장외,,0,격일,19시간,7시간  : 점심1시간 저녁1시간 취침시간 5시간,경비실,각동6인 외각1인,외각,청해물산,각동.단지주변.지하주차장외,0,5시간,,점심1시간,,각동1명,80344,,정기소독4회 추가소독8회 외가수시,0,,12대,년계약,16년차,LG오티스.로프식VVF,3층~13층,로프시부.로프.파워티알.LPS-602외,0,4924260,7회,,충당금적립.수시처리,25544360,승강기.난방기계.공동,0,6,0226656644,0226650010,"지하수조2,906톤 고가수조244.8톤",,109-80-01822,15785,126.8103825,37.5770617,907-00-31738-1,금낭화로,287-19,서울특별시 강서구 방화동 814 방화5단지,아파트,서울특별시 강서구 금낭화로 287-19,1372,0,0,,,2019-05-20 04:28:33.0,56194.14
1829,A13276415,방학청구,서울,도봉구,방학동,,1994-06-20 00:00:00.0,105166,105142,978,2013-03-07 09:46:56.0,2017-08-09 11:55:47.0,2017-08-09 11:55:47.0,Y,8,14,10,(주)청구,(주)청구,,0.00,,15,547,,"관리사무실,경로당,도서실,어린이놀이터,주차장,오수정화조,공동저수시설, 승강기 등",2250,필수,,관리,유,,0,전산,경비실,유,4,"승강기. 놀이터, 주차장, 계단입구",무,0,격일제,07시부터 익일 07시까지,"11시30분부터12시30분까지, 18시부터19시분까지, 01시부터 익일 04시까지",유,층라인,,,론슬립,0,09시부터 16시까지,,12시부터 13시까지,188/1,물걸레,18613,독먹이식 : 세대,년4회 기타8회 수목 8회,0,,4,,97년식,로프식,전층운행,,0,663360,,,매월부과,0,"건축, 설비, 소방",0,2,02-2685-5281,02-2685-5252,고가,473 개봉상우아파트,113-82-60391,152092,126.8613898,37.4936411,11385145590,남부순환로97길,50,서울특별시 구로구 개봉동 473 개봉상우,아파트,서울특별시 구로구 남부순환로97길 50,94,47,47,,,2019-05-20 04:52:01.0,14060.52
724,A15785507,방화현대1차,서울,강서구,방화1동,홈페이지 없음,1993-11-26 00:00:00.0,38713,37828,337,2013-03-07 09:46:46.0,2013-05-27 16:44:30.0,2013-05-27 16:44:30.0,Y,5,6,3,현대,현대,1991-07-01 00:00:00.0,13336.81,37828.44,8|15,317,,"관리사무실,경로당,대표회의실,어린이놀이터,주차장,오수정화조,공동저수시설,승강기,기계실,전기실,경비실",,전기안전대행업체,주1회,유,무,,0,전산,,유,,,,0,격일재,"평일: ~ ( 시간), 토: ~ (시간), 휴일: ~ (시간)",주간2시간 야간3시간 ,,"건물내부(복도, 계단), 지하주차장, 옥상, 건물외부, 화단, 논슬립, 대청소, 재활용",,개소 회/주,음식물,0,평일 오전 9시-오후6시 토요일 오전9시-오후12시,,휴게시간 120분,m2당단가 154원,"복도 물걸레( 회/주), 주차장 청소( 회/월), 옥상( 회/월)</a> ",12356,"살충작업,살균작업,구서작업",매월1회,0,"살충소독,살균소독,구서소독",8대,위탁계약,1년,로프식,20층,없슴,0,660000,2,,적립식및 발생액,0,,660000,4,023919888,02-391-9887,,461,1088138338,120-71,126.9378412,37.5972741,90901038521,통일로,553,서울특별시 서대문구 홍은동 461 홍은동부센트레빌,아파트,서울특별시 서대문구 통일로 553,54,98,49,,,2019-05-20 03:07:44.0,17178.83
355,A14281701,현대성우,서울,강북구,송천동,,1998-10-27 00:00:00.0,33287,25313,216,2013-03-07 09:46:22.0,2016-04-18 10:45:54.0,2016-04-18 10:45:54.0,Y,4,4,2,현대 성우건설,양지연립주택조함,,0.00,,17층,271,,"관리사무실,경로당,놀이터,주차장",1500,비상주,전기안전대행업체위탁,관리,무,,1091195763,전산,A동 1층 방재실,유,총 470대,"주차장(363대),승강기홀(55대),승강기내부(35대),놀이터(3대),기타(14대)",유,848290599,교대(3),8시간씩/일   3교대/일 근무,식사시간1시간,유,"공용복도전체,E/L홀 내외부청소, 층별유리 청소, 비상계단 2곳, 탕비실, 화장실 , 휘트니스,부대시설등","수량: 3 개, 면적: ㎡",200개소 6회/주,"내외곽청소및 주차장, 집하장및 탕비실, 로비 대리석 광택작업등",531582641,"08:00~16:00(월~금), 08:00~12:00(토)",,12:00~13:00(1시간),(15층/명),먼지습진-물걸레(2회/일),234458,전담주부사원투입실시,"3개월1회실시,매월추가소독실시",27786810,"뉴맥스포스겔, 로취제로겔,디맨드cs,롱다운,킬트랩;컴배트형",35대,단순유지보수계약(POG),(2007)년도 설치 (3)연차 운행,로프식,"전층운행(단,고층용,저층용분리운행)","통신기판, 승강기 제어반 PCB, 승강기홀 콜버튼 PCB, 홀도어 스위치",119942850,6010290,30건,2년차가 지나고 3년차 진행중,수선유지비(매월부과),117968948,"물탱크청소,소방시설점검,수변전설비검사외 기타 공용부분비용",0,4,02-2024-7117,02-2024-7111,부스타,227-7번지,206-82-67100,143190,127.072564,37.5378573,,아차산로,262,서울특별시 광진구 자양동 227-7 자양더샵스타시티,주상복합,서울특별시 광진구 아차산로 262,0,0,546,,,2019-05-20 00:09:51.0,157669.49
850,A13382106,성수동아,서울,성동구,성수1가1동,,1983-09-03 00:00:00.0,32760,32760,390,2013-03-07 09:46:43.0,2016-09-28 10:05:46.0,2016-09-28 10:05:46.0,Y,1170,10,3,동아주택,동아주택,,316697.00,,10|1,320,"

<p>우리아파트는 비록 오래되긴 했지만? 나무가 우거지고 지하철역이 가까우며 서울숲,한강,쇼핑몰, 강남가기가 편리해요. 주민들도 오래사시는분들이 여서? 친절하시고 남일도 자기일처럼 생각하는 아름다운 마음을 가진분들이 많으세요. </p>

","관리사무실,경로당,근린생활시설,어린이놀이터,주차장,정화조,공동정수시설,승강기 외",900,선임,대행위탁,"화재수신반(비관리), 승강기비상호출(관리), CCTV 야간당직자(비관리)","홈네트워크(무), 주차관제시스템(무)",,176144500,전산,경비실(2),유,2대,각라인 현관입구. 어린이놀이터1.,,56796000,격일제,21시간,3시간,관리실.경비실,"각동현관 입구, 승강기내, 공용계단",무,매일수거(공휴일 제외),,26928000,평일5시간(09:00-15:00). 토요일3시간(09:00-12:00),,평일 1시간(12:00-13:00),87세대,"일일청소(매일), 대청소(년1회)",26453,분무,정기및추가소독(12회).수목소독(8회),2640000,맥스포스겔.마툴키.라모스린,9대,전체(OM계약),"1990년도 설치,19년차 사용",로프식,1층제외.,OM(종합유지보수)계약,21384000,1782000,5회/월,종료,수선유지충당금(년간분할 부과),7357090,"공용부분 공사비, 지하저수조 및 고가수조 청소비, 정화조 청소비 ",0,2,02-908-5441,02-903-0252,고가수조,성원아파트,2108000841,01001,127.0138641,37.6618442,21080008410,삼양로,660,서울특별시 강북구 우이동 1 우이동성원아파트,아파트,서울특별시 강북구 삼양로 658,0,262,0,,,2019-05-20 01:28:48.0,21868.76
229,A13786704,서초한신플러스타운,서울,서초구,서초3동,,2001-12-14 00:00:00.0,34040,24897,194,2013-03-07 09:46:21.0,2013-06-17 14:08:12.0,2013-06-17 14:08:12.0,Y,4,6,2,주식회사 한신공영,주식회사 한신공영,,0.00,,15층,285,,"관리사무실,경로당,경비실4개,지하저수조2개,펌프실1개,어린이놀이터2개등",700(235),필수,대행위탁,관리,무,무,732057512,전산장부,라인별,유,,,무,0,격일제,20.5,3.5,유,"대청소, 계단,",지하주차장,-,-,0,5.5,,1,262세대 3명,계단 물걸레,29448,"분무,연막등",정기4 매월 수시,0,마돌키등 여러가지,7,단순,17년,로프식,14-20,-,6403320,994400,필요시,종료,"수선충당금, 수선유지비",0,"배관,정화조,외벽등",0,2,02-2649-0682,02-2652-7978,일반펌프방식,,117-80-00498,158-05,126.8746806,37.523805,60312674,목동동로12길,23,서울특별시 양천구 목동 405 목동대림2차,아파트,서울특별시 양천구 목동동로12길 23,0,262,0,,,2019-05-20 03:54:09.0,22222.84
1932,A11077101,창신쌍용2단지,서울,종로구,창신3동,,1993-10-12 00:00:00.0,97541,94112,919,2013-03-07 09:46:55.0,2017-06-22 11:05:39.0,2017-06-22 11:05:39.0,Y,8,18,7,쌍용건설,창신제2지구 재개발조합,1993-10-01 00:00:00.0,7470.43,,14|,500,,"관리사무실,경노당,놀이터,주차장,오수정화조,공동저수시설,지하음용수,승강기",1700,선임,직원선임,관리,"무,유",문고,0,전산,각동 경비소,유,3,"놀이터, 주차장, 엘리베이터",유,0,격일근무,06:00 ~ 익일06:00,"4시간(주간2시간, 야간2시간)",유,각동별1인담당,,2개소/6회,"외곽, 대청소",0,평일:09:00~16:00(6시간) 토: 09:00~12:00(3시간) ,,평일:12:00~13:00(1시간) ,"151세대-1인, 112세대-1인",,0,"독이법,분무법 ","실내소독-12회,수목소독-7회",0,"그린벅, 맥스포스겔, 개미잡스",19층용/3대 16층용/1대,전체(FM),11년차(1998년설치),로프식,전층운행,"로프,쉬브, 홀도어 교체",0,0,,10년차 진행,수선유지비(매월부과),0,"건축, 설비, 전기, 소방, 통신, 조경 ",0,2,02-516-6752,02-516-6786,고가수조,한솔아파트,120-80-01270,06089,127.0455212,37.5173908,907-00-28592-1,학동로64길,7,서울특별시 강남구 삼성동 4-6 삼성한솔,아파트,서울특별시 강남구 학동로64길 7,114,89,60,,,2019-05-20 07:06:58.0,20736.68
155,A13790905,신반포한신14차,서울,서초구,잠원동,신반포14차.apti.co.kr,1983-12-27 00:00:00.0,20673,20559,178,2013-03-07 09:46:14.0,2016-08-08 15:34:02.0,2016-08-08 15:34:02.0,Y,11,4,2,한신공영(주),한신공영,1983-12-01 00:00:00.0,1675.00,115,-1|12,172,,"관리사무실, 어린이놀이터, 경비실2개소",600,비상주,전기안전대행업체위탁,관리,무,,0,전산,각동 경비실,호출 가능,있음,있음,경비실에서 받음,721327490,"격일제, 교대(6시간)",당일6시~ 익일 6시,"주간1시간,야간 5시간",가능,,,,,90306254,,,,,,159879,,정기4회 추가8회,12187476,,16층용 7개 15층용 12대 11층용 13대 12층용 1대,,,로프식,"1,2층제외운행",,21780000,3474460,,"(1,2,3,4,5,10 년차 종결)",수선유지비(매월부과-정산제),140381650,설비,0,15,027014623,027014725,고가수조방식,81,105-80-01567,121040,126.9473837,37.5369085,1058001567,삼개로,38,서울특별시 마포구 도화동 82 마포도화우성,아파트,서울특별시 마포구 삼개로 38,68,604,270,,,2019-05-20 03:19:32.0,121932.54
